Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB6E4,95,12.0,8,49.479166666666664
CRE100,1,8.0,2,2.0833333333333335
ExR3,24,9.333333333333334,2,50.0
FB1H,1,5.0,2,2.0833333333333335
FB4B,1,5.0,2,2.0833333333333335
"FB4P,FB4Q,FB4R",8,7.5,11,3.0303030303030303
FB4X,9,8.0,2,18.75
FB5A,3,6.0,4,3.125
FB5I,3,5.666666666666667,2,6.25
LAL002,2,27.5,2,4.166666666666667
LPsP,4,16.5,2,8.333333333333334
PFGs,15,8.4,24,2.6041666666666665
SMP164,1,5.0,2,2.0833333333333335
hDeltaA,12,10.166666666666666,10,5.0
hDeltaG,9,8.444444444444445,8,4.6875
hDeltaH,12,8.333333333333334,8,6.25
hDeltaK,64,13.046875,31,8.602150537634408
